GeneName,VLDA,VQDA,penLDA,NSC,NaiveBayesKernel,VNPDA
ABHD5 (5860215),0,0,1,0,0,0
ABHD6 (2690402),0,0,0,0,0,0
ABHD8 (4880288),0,0,0,0,0,0
ABI1 (5130725),0,0,1,0,0,0
ABI2 (670326),0,0,0,0,0,0
ABI2 (2000100),0,0,0,0,0,0
ABI3 (3840717),0,0,1,1,0,1
ABI3BP (6980739),0,0,1,0,0,1
ABL1 (4180088),0,0,1,0,0,0
ABL2 (2510520),0,0,0,0,0,0
ABLIM1 (2570112),0,0,0,0,0,0
ABLIM1 (6400243),0,0,1,0,0,0
ABLIM3 (2350747),0,0,1,0,0,0
ABR (620240),0,0,0,0,0,0
ABTB1 (2970044),0,0,0,0,0,0
ABTB1 (6620609),0,0,0,0,0,0
ABTB2 (940148),0,0,1,1,0,0
ACAA1 (3520753),0,0,0,0,0,0
ACAA2 (1450093),0,0,0,0,0,0
ACACA (2190414),0,0,0,0,0,0
ACACA (2630692),0,0,0,0,0,0
ACACB (2230678),0,0,1,0,0,0
ACAD10 (6560327),0,0,1,0,0,0
ACAD11 (3370136),0,0,0,0,0,0
ACAD8 (730671),0,0,1,0,0,0
ACAD9 (5340561),0,0,0,0,0,0
ACADM (430139),0,0,0,0,0,0
ACADM (2470279),0,0,0,0,0,0
ACADS (110441),0,0,0,0,0,0
ACADVL (610093),0,0,0,0,0,0
ACADVL (1170647),0,0,0,0,0,1
ACADVL (1240551),0,0,0,0,0,0
ACAT1 (2070605),0,0,1,0,0,0
ACAT2 (7330753),0,0,0,0,0,0
ACBD3 (5890112),0,0,0,0,0,0
ACBD6 (870349),0,0,0,0,0,1
ACCN2 (1690050),0,0,1,0,0,0
ACD (1300154),0,0,1,0,0,0
ACIN1 (4860204),0,0,0,0,0,0
ACLY (4200259),0,0,0,0,0,0
ACLY (4290279),0,0,1,0,0,0
ACN9 (520575),0,0,0,0,0,0
ACN9 (6040088),0,0,0,0,0,0
ACO1 (2450608),0,0,0,0,0,0
ACO2 (3930639),0,0,0,0,0,0
ACOT1 (4900438),0,0,0,0,0,0
ACOT11 (1050253),0,0,0,0,0,0
ACOT2 (6290059),0,0,0,0,0,0
ACOT4 (4780709),0,0,0,0,0,0
ACOT7 (4290050),0,0,0,0,0,0
ACOT7 (6580639),0,0,0,0,0,0
ACOT8 (2900291),0,0,0,0,0,0
ACOT9 (5220497),0,0,1,0,0,0
ACOT9 (7160592),0,0,1,0,0,0
ACOX1 (1190327),0,0,0,0,0,0
ACOX2 (1010114),0,0,0,0,0,0
ACOX3 (4540010),0,0,0,0,0,0
ACP1 (1500152),0,0,0,0,0,0
ACP1 (6110672),0,0,0,0,0,0
ACP2 (2480025),0,0,1,0,0,0
ACP5 (7050082),0,0,1,0,0,0
ACP6 (4670671),0,0,0,0,0,0
ACPL2 (3800538),0,0,1,1,0,0
ACPL2 (5720537),0,0,1,0,0,0
ACPT (2690369),0,0,0,0,0,0
ACRC (3850192),0,0,0,0,0,0
ACSL1 (1030431),0,0,1,0,0,0
ACSL3 (1580524),0,0,0,0,0,0
ACSL3 (3440367),0,0,0,0,0,0
ACSL3 (3930593),0,0,0,0,0,0
ACSL4 (3990747),0,0,1,0,0,0
ACSL4 (7000307),0,0,0,0,0,1
ACSL5 (7040286),0,0,1,1,1,0
ACSS1 (5220377),0,0,1,0,1,1
ACSS2 (4490524),0,0,0,0,0,0
ACSS2 (4670544),0,0,0,0,0,0
ACTA2 (6480059),0,0,0,0,0,0
ACTB (4610390),0,0,1,0,0,0
ACTB (5270730),0,1,0,0,0,0
ACTB (5570132),0,0,1,0,0,0
ACTG1 (3310424),0,0,1,1,0,0
ACTG1 (6510072),0,0,0,0,0,0
ACTG2 (4610431),0,0,0,0,0,0
ACTL6A (5080603),0,0,0,0,0,0
ACTL6A (5220358),0,0,0,0,0,0
ACTN1 (5080364),0,0,1,0,1,0
ACTN4 (270437),0,0,1,0,0,0
ACTR10 (2630064),0,0,0,0,0,0
ACTR1A (4280561),0,0,0,0,0,0
ACTR1B (2120088),0,0,0,0,0,0
ACTR2 (5570196),0,0,1,0,0,0
ACTR3 (6940176),0,0,1,0,0,0
ACTR5 (2690670),0,0,1,0,0,0
ACTR6 (1580168),0,0,0,0,0,0
ACTR8 (270278),0,0,0,0,0,0
ACVR1 (6940360),0,0,0,0,0,0
ACVR1B (4570240),0,0,0,0,0,0
ACVR2A (4590349),0,0,0,0,0,0
ACVRL1 (4610746),0,0,0,0,0,0
ACY1 (1400341),0,0,1,0,0,0
ACYP1 (3440689),0,0,0,0,0,0
ACYP1 (5910148),0,0,0,0,0,0
ACYP2 (5290672),0,0,0,0,0,0
ADA (7210192),0,0,0,0,0,0
ADAM10 (5290300),0,0,0,0,0,0
ADAM15 (1980553),0,0,0,0,0,0
ADAM15 (3440452),0,0,0,0,0,0
ADAM15 (6480131),0,0,0,0,0,0
ADAM17 (5260546),0,0,0,0,0,0
ADAM19 (6900209),0,0,1,0,0,0
ADAM8 (780725),0,0,1,0,0,0
ADAM9 (2940730),0,0,0,0,0,0
ADAMDEC1 (1690192),0,0,1,1,1,1
ADAMDEC1 (2470184),0,0,1,1,1,1
ADAMTS1 (6900086),0,0,0,0,0,0
ADAMTS9 (1570382),0,0,1,0,0,0
ADAMTSL2 (4810575),0,0,0,0,0,0
ADAR (2900450),0,0,0,0,0,0
ADAR (5490433),0,0,0,0,0,0
ADARB1 (4760079),0,0,0,0,0,0
ADARB1 (7330097),0,0,0,0,0,0
ADAT1 (1710204),0,0,0,0,0,0
ADAT3 (2230253),0,0,0,0,0,0
ADC (130707),0,0,0,0,0,1
ADCK1 (7610328),0,0,1,0,0,0
ADCK2 (1780647),0,0,0,0,0,0
ADCK4 (4290053),0,0,1,0,0,0
ADCK5 (2480709),0,0,0,0,0,0
ADCY1 (580561),0,0,0,0,0,0
ADCY3 (3800050),0,0,0,0,0,0
ADCY4 (6330224),0,0,0,0,0,0
ADCY6 (2190463),0,0,0,0,0,0
ADCY6 (3120600),0,0,0,0,0,0
ADCY7 (50735),0,0,1,0,0,0
ADCY9 (3060100),0,0,0,0,0,0
ADD1 (5900685),0,0,0,0,0,0
ADD3 (1990468),0,0,0,0,0,0
ADD3 (3420747),0,0,1,0,0,0
PLIN2 (460204),0,0,1,0,0,0
PLIN2 (1400446),0,0,1,0,0,0
ADHFE1 (2760121),0,0,1,0,0,1
ADHFE1 (3890598),0,0,1,0,0,0
ADI1 (6620278),0,0,1,1,0,0
ADIPOR1 (3460201),0,0,0,0,0,0
ADIPOR1 (6100767),0,0,0,0,0,0
ADIPOR2 (6960685),0,0,0,0,0,0
ADK (1030241),0,0,1,1,1,0
ADM (5670465),0,0,0,0,0,0
ADM2 (2970452),0,0,0,0,0,0
ADNP (360678),0,0,0,0,0,0
ADNP (1770551),0,0,0,0,0,0
ADNP2 (7330270),0,0,0,0,0,0
ADO (4480546),0,0,0,0,0,0
ADORA2A (7560440),0,0,0,0,0,0
ADORA2B (2060040),0,0,1,0,0,0
ADORA3 (870138),0,0,1,1,0,0
ADORA3 (4540255),0,0,0,0,0,0
ADPGK (5550619),0,0,1,1,0,0
ADPRHL2 (730010),0,0,0,0,0,0
ADRA2A (5720523),0,0,0,0,0,0
ADRB2 (7570326),0,0,0,0,0,0
ADRM1 (4280136),0,0,0,0,0,0
ADRM1 (4390121),0,0,0,0,0,0
ADSL (5870228),0,0,0,0,0,0
ADSS (5960097),0,0,0,0,0,0
ADSS (6020333),0,0,0,0,0,0
ADSSL1 (4830372),0,0,0,0,0,0
AEBP1 (6580711),0,0,0,0,0,0
AEBP2 (4260671),0,0,0,0,0,0
AES (1230458),0,0,0,0,0,0
AES (6180176),0,0,0,0,0,1
AFAP1 (2690187),0,0,0,0,0,0
AFAP1L1 (20154),0,0,0,0,0,0
AFAP1L2 (4590133),0,0,0,0,0,0
AFAP1L2 (6620711),0,0,0,0,0,0
AFF1 (6060142),0,0,1,0,0,0
AFF3 (650753),0,0,1,1,0,0
AFF4 (2360189),0,0,0,0,0,0
AFG3L1 (60609),0,0,0,0,0,0
AFG3L2 (1170538),0,0,0,0,0,0
AFMID (2070707),0,0,0,0,0,0
AFTPH (450097),0,0,1,1,0,0
AGA (130064),0,0,1,0,0,0
AGBL5 (1850075),0,0,0,0,0,0
AGBL5 (6620403),0,0,1,0,0,0
AGGF1 (70239),0,0,0,0,0,0
AGK (7560452),0,0,1,0,0,0
AGL (2940113),0,0,0,0,0,0
AGL (7000672),0,0,0,0,0,0
AGPAT1 (4610044),0,0,0,0,0,0
AGPAT2 (3520671),0,0,0,0,0,0
AGPAT2 (3850370),0,0,0,0,0,0
AGPAT2 (5560102),0,0,0,0,0,0
AGPAT4 (3440025),0,0,0,0,0,0
AGPAT5 (830719),0,0,0,0,0,0
AGPAT6 (4560156),0,0,0,0,0,0
LPCAT4 (5670669),0,0,0,0,0,0
AGPAT9 (2060477),0,0,0,0,0,0
AGPS (7560154),0,0,0,0,0,0
AGRN (6370500),0,0,0,0,0,0
AGTPBP1 (4760427),0,0,0,0,0,0
AGTRAP (4610220),0,0,0,0,0,0
AGTRAP (4900685),0,0,0,0,0,0
APLNR (3290402),0,0,0,0,0,0
AGXT2L2 (870139),0,0,0,0,0,0
AHCTF1 (1230196),0,0,0,0,0,0
AHCTF1 (6040747),0,0,0,0,0,0
AHCY (3710537),0,1,0,0,0,0
AHCYL1 (1170440),0,0,0,0,0,0
AHCYL2 (870039),0,0,1,0,0,0
AHI1 (5860253),0,0,0,0,0,0
AHNAK (450553),0,0,0,0,0,0
AHR (4890672),0,0,0,0,0,0
AHR (6060367),0,0,1,0,0,0
AHSA1 (4880561),0,0,0,0,0,0
AHSA2 (1170220),0,0,0,0,0,0
AHSG (2320377),0,0,1,0,0,0
AIF1 (1940047),0,0,1,1,1,1
AIF1 (3800047),0,0,1,1,1,1
AIFM1 (1500689),0,0,0,0,0,0
AIFM1 (1940577),0,0,0,0,0,0
AIFM1 (3290341),0,0,0,0,0,0
AIG1 (3940056),0,0,1,0,0,0
AIM2 (1260270),0,0,1,1,0,0
AIP (610689),0,0,0,0,0,0
AIRE (5820386),0,0,0,0,0,0
AK1 (5130162),0,0,0,0,0,0
AK2 (1990491),0,0,0,0,0,0
AK2 (3140441),0,0,0,0,0,0
AK2 (5720669),0,0,0,0,0,0
AK3 (670463),0,0,0,0,0,0
AK3L1 (160148),0,0,1,0,0,0
AK3L1 (4290192),0,0,1,0,0,1
AK3L1 (4610554),0,0,1,0,0,0
AKAP1 (4810494),0,0,1,1,1,1
AKAP11 (1450333),0,0,0,0,0,0
AKAP11 (5720731),0,0,0,0,0,0
AKAP11 (6420398),0,0,0,0,0,0
AKAP12 (670041),0,0,0,0,0,0
AKAP12 (6940475),0,0,0,0,0,0
AKAP13 (650050),0,0,0,0,0,0
AKAP13 (2060341),0,0,1,1,0,0
AKAP13 (3940440),0,0,1,0,0,0
AKAP7 (5340504),0,0,0,0,0,0
AKAP8 (6550053),0,0,0,0,0,0
AKAP8L (5340593),0,0,0,0,0,0
AKNA (2850010),0,0,1,0,0,0
AKR1A1 (1500504),0,0,1,1,0,1
AKR1A1 (6130424),0,0,1,1,0,0
AKR1B1 (4260139),0,0,0,0,0,0
AKR1C3 (7210632),0,0,0,0,0,0
AKR1D1 (5860347),0,0,0,0,0,0
AKR7A2 (6180681),0,0,0,0,0,0
AKR7A3 (70484),0,0,0,0,0,0
AKT1 (2470619),0,0,0,0,0,0
AKT1 (6200431),0,0,0,0,0,0
AKTIP (4480338),0,0,1,0,0,0
AKTIP (5720703),0,0,0,0,0,0
ALAD (3120162),0,0,0,0,0,0
ALCAM (2070575),0,0,1,0,0,1
ALDH16A1 (940441),0,0,0,0,0,0
ALDH18A1 (2370255),0,0,1,0,0,0
ALDH1A1 (1070477),0,0,1,0,0,0
ALDH1A1 (6510754),0,0,0,0,0,0
ALDH1A3 (2360551),0,0,1,1,0,0
ALDH1A3 (4920148),0,0,1,0,0,0
ALDH1B1 (1240379),0,0,1,0,0,0
ALDH2 (840253),0,0,1,1,0,0
ALDH3A2 (1690608),0,0,0,0,0,0
ALDH3A2 (3120196),0,0,0,0,0,0
ALDH3B1 (2970356),0,0,0,0,0,1
ALDH4A1 (1470427),0,0,0,0,0,0
ALDH4A1 (2640273),0,0,0,0,0,0
ALDH5A1 (2640274),0,0,1,0,0,0
ALDH5A1 (7040327),0,0,1,0,0,0
ALDH6A1 (5820373),0,0,0,0,0,0
ALDH6A1 (7100274),0,0,1,0,0,0
ALDH7A1 (70102),0,0,0,0,0,0
ALDH7A1 (4150544),0,0,0,0,0,0
ALDH9A1 (1820044),0,0,0,0,0,0
ALDOA (2640088),0,0,0,0,0,0
ALDOA (6590253),0,0,0,0,0,1
ALDOC (7330544),0,0,0,0,0,0
ALG1 (5560670),0,0,0,0,0,0
ALG11 (4210358),0,0,0,0,0,0
ALG13 (6660411),0,0,0,0,0,0
ALG14 (50128),0,0,0,0,0,0
ALG14 (2340524),0,0,0,0,0,0
ALG3 (2650167),0,0,0,0,0,0
ALG5 (6370113),0,0,0,0,0,0
ALG6 (6960243),0,0,0,0,0,0
ALG8 (2970296),0,0,0,0,0,0
ALG8 (4850632),0,0,0,0,0,0
ALG9 (450204),0,0,0,0,0,0
ALK (630368),0,0,1,0,0,0
ALKBH1 (3360056),0,0,0,0,0,0
ALKBH1 (7160167),0,0,0,0,0,0
ALKBH2 (1340537),0,0,0,0,0,0
ALKBH3 (4610369),0,0,0,0,0,0
ALKBH4 (1780379),0,0,0,0,0,0
ALKBH5 (1400209),0,0,0,0,0,0
ALKBH6 (670360),0,0,0,0,0,0
ALKBH7 (3310324),0,0,0,0,0,0
ALKBH8 (6420044),0,0,0,0,0,0
ALOX5 (1780273),0,0,1,1,1,1
ALOX5AP (3930343),0,0,0,0,0,0
ALPK1 (540390),0,0,1,0,0,0
ALPK2 (5270519),0,0,1,0,0,0
ALPL (5700070),0,0,0,0,0,0
ALPP (2600133),0,0,0,0,0,0
ALS2 (2140156),0,0,0,0,0,1
FAM117B (3120292),0,0,0,0,0,0
ALS2CR14 (6940709),0,0,0,0,0,0
STRADB (2940075),0,0,0,0,0,0
ALS2CR4 (50348),0,0,0,0,0,0
AMACR (520544),0,0,0,0,0,0
AMACR (3130154),0,0,0,0,0,0
AMD1 (50050),0,0,0,0,0,0
AMD1 (3870619),0,0,0,0,0,0
AMDHD2 (6110280),0,0,0,0,0,0
AMFR (1400672),0,0,0,0,0,0
AMFR (4610594),0,0,0,0,0,0
AMICA1 (1580465),0,0,1,1,1,1
AMMECR1 (2340601),0,0,0,0,0,0
AMMECR1L (4900605),0,0,1,1,0,0
AMOT (3290646),0,0,1,1,0,0
AMT (940450),0,0,0,0,0,0
AMY1A (1740220),0,0,1,0,0,0
AMY1B (5550288),0,0,0,0,0,0
AMY1C (1820068),0,0,0,0,0,0
AMY2A (3130296),0,0,0,0,0,0
AMZ2 (510328),0,0,0,0,0,0
ANAPC1 (730647),0,0,0,0,0,0
ANAPC1 (7210259),0,0,0,0,0,0
ANAPC10 (6840706),0,0,0,0,0,0
ANAPC11 (10220),0,0,0,0,0,0
ANAPC11 (4760288),0,0,0,0,0,0
ANAPC13 (6250382),0,0,0,0,0,0
ANAPC4 (6450021),0,0,1,0,0,0
ANAPC5 (4730408),0,0,0,0,0,0
ANAPC7 (160220),0,0,0,0,0,0
ANG (3890484),0,0,0,0,0,0
ANG (3930392),0,0,0,0,0,0
ANGEL1 (5550086),0,0,0,0,0,0
ANGEL2 (1820441),0,0,0,0,0,0
ANGPT1 (3120326),0,0,0,0,0,0
ANGPT2 (3450066),0,0,0,0,0,0
ANGPTL2 (7650672),0,0,0,0,0,0
ANGPTL4 (4610433),0,0,0,0,0,0
ANK2 (4780437),0,0,0,0,0,0
ANKDD1A (5890564),0,0,0,0,0,0
ANKFY1 (450300),0,0,0,0,0,0
ANKFY1 (6220152),0,0,0,0,0,0
ANKHD1 (610546),0,0,0,0,0,0
ANKMY1 (2760102),0,0,0,0,0,0
ANKMY2 (4890136),0,0,0,0,0,0
ANKRA2 (1170630),0,0,0,0,0,0
ANKRA2 (7400114),0,0,1,0,0,0
ANKRD10 (4540689),0,0,0,0,0,0
ANKRD10 (6900674),0,0,0,0,0,0
ANKRD11 (3370274),0,0,0,0,0,0
ANKRD12 (7040132),0,0,1,0,0,0
ANKRD13A (2120224),0,0,0,0,0,0
ANKRD13C (4810053),0,0,0,0,0,0
ANKRD13D (4010424),0,0,0,0,0,0
ANKRD16 (650008),0,0,1,0,0,0
ANKRD17 (4210437),0,0,0,0,0,0
ANKRD17 (6940520),0,0,0,0,0,0
ANKRD20A1 (6450661),0,0,0,0,0,0
ANKRD22 (130181),0,0,1,1,0,0
ANKRD22 (4150270),0,0,1,1,0,0
ANKRD28 (360064),0,0,0,0,0,0
ANKRD28 (2760563),0,0,0,0,0,0
ANKRD29 (1500358),0,0,1,1,1,0
ANKRD30B (1770273),0,0,0,0,0,0
ANKRD33 (4860707),0,0,1,0,0,0
ANKRD35 (4590377),0,0,0,0,0,0
ANKRD36B (3060010),0,0,1,1,0,0
ANKRD37 (240682),0,0,1,0,0,0
ANKRD39 (6220553),0,0,1,0,0,0
ANKRD44 (5810228),0,0,0,0,0,0
ANKRD46 (2750598),0,0,1,0,0,0
ANKRD49 (520341),0,0,1,0,0,0
ANKRD50 (1770187),0,0,0,0,0,0
ANKRD54 (2340598),0,0,0,0,0,0
ANKRD57 (2510224),0,0,0,0,0,0
ANKRD6 (4880465),0,0,1,0,0,0
ANKRD9 (7050370),0,0,0,0,0,0
ANKS1A (5390064),0,0,0,0,0,0
ANKZF1 (580598),0,0,0,0,0,0
ANLN (6450669),0,0,0,0,0,0
ANP32B (3850053),0,0,0,0,0,0
ANPEP (5810612),0,0,1,1,0,0
ANTXR1 (20647),0,0,0,0,0,0
ANTXR1 (60255),0,0,1,0,0,0
ANTXR2 (10685),0,0,0,0,0,1
ANXA1 (6520215),0,0,0,0,0,0
ANXA11 (1300274),0,0,0,0,0,0
ANXA11 (5900735),0,0,1,1,0,0
ANXA2 (770730),0,0,1,0,0,0
ANXA2 (3520328),0,0,1,0,0,0
ANXA2 (4780615),0,0,1,0,0,1
ANXA2P1 (270609),0,0,0,0,0,0
ANXA2P1 (3370202),0,0,0,0,0,0
ANXA5 (1070451),0,0,0,0,0,0
ANXA6 (450671),0,0,0,0,0,0
ANXA6 (2490598),0,0,0,0,0,0
ANXA7 (6330044),0,0,1,0,0,0
AOAH (2940424),0,0,1,1,1,1
AOF2 (730725),0,0,0,0,0,0
AP1B1 (730301),0,0,0,0,0,0
AP1B1 (5960201),0,0,1,0,0,0
AP1G1 (1820136),0,0,0,0,0,0
AP1G1 (1850593),0,0,0,0,0,0
AP1G2 (7400468),0,0,0,0,0,0
AP1M1 (2190241),0,0,0,0,0,0
AP1S1 (2190341),0,0,0,0,0,1
AP1S1 (5490673),0,0,0,0,0,0
AP1S1 (7040079),0,0,0,0,0,1
AP1S2 (940706),0,0,1,0,0,0
AP1S2 (1070192),0,0,1,1,0,1
AP2A1 (1660072),0,0,0,0,0,0
AP2A2 (6270041),0,0,0,0,0,0
AP2B1 (1400605),0,0,0,0,0,0
AP2B1 (2340451),0,0,0,0,0,0
AP2M1 (240187),0,0,1,0,0,0
AP2M1 (840148),0,0,0,0,0,0
AP2S1 (3120228),0,1,0,0,0,0
AP2S1 (6370661),0,0,1,0,0,0
AP3B1 (2230603),0,0,0,0,0,0
AP3D1 (4210612),0,0,0,0,0,0
AP3D1 (6100719),0,0,0,0,0,0
AP3M1 (2760202),0,0,1,0,0,0
AP3M1 (6200437),0,0,0,0,0,0
AP3M2 (3420128),0,0,0,0,0,0
AP3S1 (7200402),0,0,0,0,0,0
AP3S2 (2750286),0,0,0,0,0,0
AP4B1 (510129),0,0,1,0,0,1
AP4E1 (270343),0,0,0,0,0,0
AP4M1 (2750168),0,0,0,0,0,0
APAF1 (1820324),0,0,0,0,0,0
APBA3 (4070014),0,0,0,0,0,0
APBB1IP (1820722),0,0,1,1,0,1
APBB3 (4120279),0,0,0,0,0,0
APBB3 (7320402),0,0,0,0,0,0
APCDD1 (4280739),0,0,0,0,0,0
APCDD1L (130138),0,0,0,0,0,0
APEH (450475),0,0,0,0,0,0
APEX1 (3120309),0,0,0,0,0,0
APEX1 (6510053),0,0,0,0,0,0
APEX2 (1430047),0,0,0,0,0,0
APH1A (1850221),0,0,0,0,0,0
APH1A (7550364),0,0,0,0,0,0
APH1B (7160224),0,0,0,0,0,0
API5 (7050523),0,0,1,0,0,0
APIP (6200202),0,0,0,0,0,0
APIP (7380010),0,0,0,0,0,0
APITD1 (5960709),0,0,1,0,0,0
APLP2 (3450577),0,0,0,0,0,0
APOA1BP (1570725),0,0,1,0,0,0
APOBEC3B (3170068),0,0,0,0,0,0
APOBEC3C (3120221),0,0,0,0,0,0
APOBEC3F (610379),0,0,1,0,0,0
APOBEC3F (1410279),0,0,0,0,0,0
APOBEC3F (6290743),0,0,0,0,0,0
APOBEC3G (1190026),0,0,1,1,0,0
APOBEC3G (4120369),0,0,1,1,0,0
APOC1 (3830465),0,0,0,0,0,0
APOC2 (3800403),0,0,0,0,0,0
APOD (7150634),0,0,0,0,0,0
APOE (730414),0,0,0,0,0,0
APOL2 (1570358),0,0,0,0,0,0
APOL2 (5700754),0,0,1,0,0,0
APOL3 (1980750),0,0,1,1,1,1
APOLD1 (1770364),0,0,0,0,0,0
APOO (2690132),0,0,0,0,0,0
APP (650110),0,0,0,0,0,0
APP (1190735),0,0,0,0,0,0
APP (3370577),0,0,0,0,0,0
APPBP2 (5270333),0,0,0,0,0,1
APPL1 (5860554),0,0,0,0,0,0
APPL2 (4180100),0,0,0,0,0,0
APRT (160746),0,0,0,0,0,0
APRT (6510603),0,0,0,0,0,0
APTX (1570138),0,0,0,0,0,0
APTX (6590674),0,0,0,0,0,0
AQP11 (4210072),0,0,0,0,0,0
AQP9 (160494),0,0,1,0,0,0
AQR (2690639),0,0,1,0,0,0
ARAF (2100576),0,0,1,0,0,0
ARCN1 (2750653),0,0,1,0,0,0
ARD1A (6590053),0,0,0,0,0,0
ARF1 (1430259),0,0,0,0,0,0
ARF1 (3310139),0,0,1,0,0,0
ARF3 (2680446),0,0,0,0,0,0
ARF4 (1430136),0,0,0,0,0,0
ARF4 (6770176),0,0,0,0,0,0
ARF5 (3370189),0,0,0,0,0,0
ARFGAP1 (2710209),0,0,0,0,0,0
ARFGAP1 (5900445),0,0,0,0,0,0
ARFGAP2 (3190066),0,0,0,0,0,0
ARFGAP3 (5090056),0,0,1,0,0,0
ARFGEF1 (3710681),0,0,0,0,0,0
ARFGEF1 (6100524),0,0,0,0,0,0
ARFGEF2 (3610554),0,0,0,0,0,0
ARFIP1 (10753),0,0,0,0,0,0
ARFRP1 (6110520),0,0,0,0,0,0
ARGLU1 (4880132),0,0,0,0,0,0
ARHGAP1 (6480082),0,0,0,0,0,0
ARHGAP10 (2000669),0,0,1,0,0,0
ARHGAP11A (290110),0,0,0,0,0,0
ARHGAP12 (5490612),0,0,0,0,0,0
ARHGAP15 (1660685),0,0,0,0,0,0
ARHGAP17 (160561),0,0,0,0,0,0
ARHGAP17 (3170520),0,0,0,0,0,0
ARHGAP19 (6110332),0,0,0,0,0,0
ARHGAP21 (1260543),0,0,0,0,0,0
ARHGAP22 (510520),0,0,0,0,0,0
ARHGAP23 (4210630),0,0,0,0,0,0
ARHGAP24 (4290243),0,0,1,0,0,0
ARHGAP25 (3850148),0,0,1,1,1,1
ARHGAP30 (4390441),1,1,1,1,1,1
ARHGAP30 (5360537),0,0,1,1,1,1
ARHGAP4 (7200240),0,0,1,0,0,0
ARHGAP9 (110180),0,0,1,1,1,1
ARHGAP9 (2650594),0,0,1,1,1,1
ARHGDIA (4760255),0,0,1,0,0,0
ARHGDIB (1570193),0,0,1,1,0,0
ARHGEF1 (870324),0,0,0,0,0,0
ARHGEF1 (3180736),0,0,0,0,0,0
ARHGEF10 (6900703),0,0,1,0,0,0
ARHGEF11 (6520594),0,0,0,0,0,0
ARHGEF11 (7150070),0,0,0,0,0,0
ARHGEF12 (5270193),0,0,0,0,0,0
ARHGEF17 (1660020),0,0,0,0,0,0
ARHGEF18 (6130725),0,0,0,0,0,0
ARHGEF19 (6250546),0,0,0,0,0,0
ARHGEF2 (4120411),0,0,1,0,0,0
ARHGEF3 (6250435),0,0,1,1,0,1
ARHGEF6 (770703),0,0,1,0,0,1
ARHGEF7 (510554),0,0,0,0,0,0
ARID1A (6280411),0,0,0,0,0,0
ARID2 (4920463),0,0,0,0,0,0
ARID2 (7100044),0,0,0,0,0,0
ARID3A (6510553),0,0,1,0,0,0
ARID3B (5960670),0,0,0,0,0,0
ARID4A (7160440),0,0,0,0,0,0
ARID4B (5090402),0,0,0,0,0,0
ARID4B (6590722),0,0,1,1,0,0
ARID5B (1410408),0,0,0,0,0,0
ARIH1 (6560433),0,0,1,1,0,0
ARIH2 (1010682),0,0,0,0,0,0
ARL1 (4860468),0,0,0,0,0,0
ARL16 (990154),0,0,0,0,0,0
ARL16 (7050500),0,0,1,0,0,0
ARL17P1 (6560307),0,0,0,0,0,0
ARL2 (3290739),0,0,0,0,0,0
ARL2BP (2570523),0,0,0,0,0,0
